bugid,sd,rs
1600283,Harmonize pointer usage in IndexedDB code,1
1600290,[wpt-sync] Sync PR 20530 - MediaRecorder: update mimeType on onstart.,1
1600291,Remove gDevToolsBrowser.openWorkerToolbox,1
1600297,Update Triage owner for Marionette and Remote Agent,1
1600301,Asseco DS / Certum: EV Certificates issued with wrong Business Category,1
1600306,"""ext.certificate.expiry < now"" when opening Secrets page",1
1600308,Intermittent TEST-UNEXPECTED-OK | /screen-orientation/lock-unlock-check.html | expected ERROR,1
1600311,Add code-review bot hook trigger to code-review events,1
1600312,ThreadSanitizer: data race [@ free] vs. [@ __tsan_atomic64_fetch_sub] involving pointer race [@ mozilla::gfx::SourceSurfaceCapture::~SourceSurfaceCapture],1
1600314,Take 'ancestor-manifest' into account in the 'chunk_by_runtime' algorithm,1
1600315,Extension block request: Search hijacking add-ons,1
1600317,Add workaround for denying non-CDP methods to be called,1
1600319,[wpt-sync] Sync PR 20531 - Remove -chunk from master branch task names,1
1600320,ThreadSanitizer: data race [@ style::gecko_bindings::sugar::ns_t_array::...::set_len] vs. [@ Length] racing on global sEmptyTArrayHeader,1
1600322,Extension block request: Add-ons executing remote code,1
1600324,"The UI of the ""Onboarding"" and ""Redirect"" tips doesn't correspond with the specifications",0
1600325,"Nothing happens when the “Okay, Got It” button from the “Redirect” tip is focused and the ""Enter"" key is pressed",1
1600326,"Several tests unexpected fail/pass after enabling the prefs for COOP, COEP, CORP",1
1600327,Extension block request: Smart Screen Capture,1
1600329,"The “Onboarding” tip is not displayed if navigating to ""about:newtab"" in an already opened tab",0
1600330,Write tests for nsIRemoteAgent interface,1
1600331,"MOZ_ASSERT(NS_IsMainThread(), ""Should only queue idle runnables on the main thread"") called from Gecko cache code",1
1600333,Remove all tags = clipboard from the codebase,1
1600335,Add histogram entry for the amount of time spent processing messages,1
1600338,[wpt-sync] Sync PR 20533 - Pass run options to stability jobs,1
1600339,Measure responsiveness while evaluating messages,1
1600340,Instrument Android 'force-close',1
1600341,[wpt-sync] Sync PR 20534 - [LayoutNG] Pixel-snap column rules.,1
1600348,Create sandbox GCP account for bhearsum@mozilla.com,1
1600349,[wpt-sync] Sync PR 20535 - Add META.yml for fetch metadata,1
1600350,[wpt-sync] Sync PR 20536 - Portals: Do not create a RemoteFrame for a portal when a portal if inserted into a disconnected node.,1
1600351,Crash in [@ objc_release | nsOSHelperAppService::IsCurrentAppOSDefaultForProtocol],1
1600353,Make TextTrackSource and TextTrackReadyState enum classes.,1
1600356,Streamline Touch Bar image loading,1
1600357,Visual elements suddenly disappear with WebRender on Win10,1
1600360,[wpt-sync] Sync PR 20537 - Update interfaces/wasm-js-api.idl,1
1600361,Move the SA doc in tree,1
1600362,Cleanup a bit more IntersectionObserver.,1
1600363,Nightly can't automatically install update after restart (wants to install a fresh copy),0
1600364,"Intermittent leakcheck | default 61496 bytes leaked (BrowserParent, BrowsingContext, BrowsingContextGroup, CondVar, ConsoleReportCollector, ...)",1
1600367,crash at null in [@ nsFieldSetFrame::GetNaturalBaselineBOffset],1
1600368,[wpt-sync] Sync PR 20538 - Fix appcache tests.,1
1600369,Restructure all <xul:dialog> usages such that they are not the top level element -- in mail/,1
1600372,nsIDOMWindowUtils.nodesFromRect with aOnlyVisible sometimes includes non-visible items,1
1600376,Remove useless namespace qualifications in layout/style.,1
1600378,[wpt-sync] Sync PR 20540 - [testharness.js] Test `assert_object_equals`,1
1600380,[wpt-sync] Sync PR 20541 - Add ref tests for web-animation play controls,1
1600383,[wpt-sync] Sync PR 20542 - Don't set taskcluster variables when we don't want to run the task,1
1600385,Settle on a Design for the FOGotype Glean ping uploader,1
1600386,ubuntu1804 - TEST-UNEXPECTED-TIMEOUT | toolkit/components/extensions/test/xpcshell/test_ext_downloads_misc.js | Test timed out,1
1600388,Glean: Enable application id org.mozilla.fogotype,1
1600390,Cache the values of the CSP prefs in the ExtensionPolicyService,1
1600392,Use a single test INI and taskcluster configuration file for all raptor-browsertime android page-load tests,1
1600398,middle click on ViewPreviousTabs list activates autoscroll,1
1600399,Document intended contacts with data review programs,0
1600404,[wpt-sync] Sync PR 20543 - [fetch] Correct redirection utility function,1
1600414,PiP player on YT animates/fades its size down to ~150x80,1
1600416,It's surprising that autogenerating a password in a private window saved the password,0
1600420,[wpt-sync] Sync PR 20544 - Update mypy to 0.750,1
1600421,"Bookmark Panel: Style attribute should be a CSS rule, not just a value",1
1600426,[wpt-sync] Sync PR 20545 - Word boundary,1
1600428,[wpt-sync] Sync PR 20546 - Word boundary,1
1600429,"Add ability to strip conditional CSS rules, only",1
1600430,[NSApp isFullKeyboardAccessEnabled] isn't returning the updated value in content processes,1
1600432,Intermittent IOError: [Errno 2] No such file or directory: u'/builds/worker/checkouts/gecko/.taskcluster.yml',1
1600433,Update pkcs11 crate.,1
1600435,"Calendar ""edit"" icon looks inconsistent with the rest of Thunderbird",1
1600436,Sync servo stuff.,1
1600439,Replace js::LazyScriptData with js::PrivateScriptData,1
1600443,Update cssparser.,1
1600444,Remove NetErrorChild.jsm,0
1600446,Perma wpt webaudio/the-audio-api/the-audioworklet-interface/audioworklet-messageport.https.html | TypeError: context.audioWorklet is undefined - when Gecko 72 merges to Beta on 2019-12-02,1
1600448,Clean up SeaMonkey module import and loading,1
1600450,Perma xpc Non-local network connections are disabled and a connection attempt to firefox.settings.services.mozilla.com (13.35.125.89) was made - when Gecko 72 merges to Beta on 2019-12-02,1
1600451,Port bug 1600362 - add namespace to Element class,1
1600454,Fix the build with various non-default configurations.,1
1600456,Plugin Block Request: Adobe Flash Player versions <= 32.0.0.270,1
1600457,WebSocket connections don't have a Messages tab,0
1600459,Fix an individual transform test,1
1600461,[wpt-sync] Sync PR 20547 - Delete invalid test.,1
1600466,"[wpt-sync] Sync PR 20548 - Adds more stepMismatch tests for input type=""number""",1
1600470,synthetic bold on color emoji looks bad,1
1600472,WebRender breaks font subpixel AA on many sites on Nightly,1
1600476,convert NS_STYLE_TOP_LAYER_* to an enum class in nsStyleConsts.h,1
1600479,Intermittent comm/calendar/test/browser/eventDialog/browser_eventDialog.js | Found an unexpected Calendar:ErrorPrompt at the end of test run -,0
1600481,convert NS_STYLE_ISOLATION_* to an enum class in nsStyleConsts.h,1
1600482,convert NS_STYLE_RUBY_POSITION_* to an enum class in nsStyleConsts.h,1
1600483,convert NS_STYLE_RUBY_ALIGN_* to an enum class in nsStyleConsts.h,1
1600484,convert NS_STYLE_TEXT_SIZE_ADJUST_* to an enum class in nsStyleConsts.h,1
1600486,Remove Redundant #define NS_STYLE_IMAGE_ORIENTATION in nsStyleConsts.h,1
1600488,FinalizationGroup unregister doesn't work correctly on empty cells,1
1600489,Private browsing window option & button not working,0
1600490,"FTP listings show ""File:"" alt text instead of icon",0
1600491,Crash in [@ mozilla::gfx::RecordedEventDerived<T>::RecordToStream],1
1600494,Crash in [@ mozilla::recordreplay::parent::ChildProcessInfo::MaybePing],0
1600496,Flickering window shadow when hovering window (Intel Graphics 655),0
1600497,Regression: Calendar is Unusable in Thunderbird 68.2.x,0
1600500,"Back widget ""Go back one message"" can easily go broken",1
1600501,Intermittent assertion failure: it != mDCLayers.end() with os compositor on Windows,1
1600506,GP+[GFX1-]: shader-cache: Timed out before finishing loads | Weird text color at random,0
1600507,Deal with null gMsgFolderSelected,1
1600509,Enterprise root certs option not working in linux,0
1600511,[wpt-sync] Sync PR 20549 - Improve diagnostics for WPT failures,1
1600517,Not able to change column width in message list (unified view). When hovering over the columns the cursor does not change,0
1600518,Control-W kills all tabs in window,0
1600520,Build flags order regression: OS include paths used before local paths,1
1600521,2.49.5 built with gcc > 5 segfaults while executing adsbygoogle.js,0
1600525,Commit Access (Level 1) for Marc Streckfuß (marc.streckfuss@gmail.com): try commit,1
1600528,Migrate browser-context.inc to Fluent,1
1600530,Mach should allow setting the objectdir using MOZ_OBJDIR environment variable,1
1600533,Rename WaitForPreviousPresentQuery(),1
1600536,user-select: initial/auto on input works incorrectly,1
1600537,Perma refbrow raptor-main Critical: TEST-UNEXPECTED-FAIL: no raptor test results were found for raptor-tp6m-amazon-refbrow-cold,1
1600538,eksisozluk.com - have to click double to bypass etp,0
1600539,Add an API for tagging image descriptors as videos,1
1600545,Mechanically remove useless inclusions of header files generated from IDL templates,1
1600546,Add logs to DCLayerTree,1
1600547,allow browser.messages.query to find messages with specified tags,1
1600550,Update alexandrui email address,1
1600551,Update triage owner for GeckoView :: General from Chris Peterson to Emily Toop,1
1600552,Remove a nested redundant #if,1
1600553,Update in-tree Browsertime version,1
1600554,Remove a nested redundant #if,1
1600555,Remove a nested redundant #if,1
1600558,For mozilla-* checks add the severity and publishable status,1
1600559,"Evolve broken: ""failed to import extension evolve from .mozbuild/evolve/hgext3rd/evolve: unicode 'evolve|stabilize|solve' found in cmdtable",1
1600560,Remove Fluent migration recipes for Firefox 71,1
1600561,Handle eCompositionCommitAsIs in ContentCacheInParent::OnCompositionEvent,1
1600564,Update cbindgen to v0.10.0 in glean-core,1
1600565,FORGET_SKIPPABLE_FREQUENCY telemetry increase in Firefox Nightly builds from 2019-11-27,1
1600566,Localstorage is not shared across all tabs,0
1600567,ThreadSanitizer: data race [@ operator!] vs. [@ assign_assuming_AddRef] in APZCTreeManager,1
1600572,ThreadSanitizer: data race [@ mozilla::SchedulerGroup::CreateEventTargetFor] vs. [@ SchedulerEventTarget::Dispatch] at startup,1
1600573,Crash in [@ mozilla::recordreplay::js::RecordReplay_OnScriptHit],0
1600574,Sandboxed processes crash due to glibc 2.31 dlopen() blocking SIGSYS while opening files,1
1600575,gc/PrivateIterators-inl.h is included by files outside the GC component,1
1600576,Extension block request: Add-ons collecting data without user disclosure or consent,1
1600579,Crash in [@ libc-2.30.so@0xa9cb5 | mozilla::layers::MappedYCbCrTextureData::CopyInto],0
1600580,[FR] Typo in Security Tips snippet,1
1600581,Add Perfherder metrics for each main step of synchronization,1
1600583,TRR fails to resolve randomly,0
1600585,getUserMedia prompt,0
1600587,[wpt-sync] Sync PR 20553 - CSS images to respect Content-DPR,1
1600590,[wpt-sync] Sync PR 20554 - Add a test for serializing Module for storage.,1
1600592,Extension Block Request: Site-specific ad blockers by FxFan,1
1600593,Remove generic snap offset references from shaders,1
1600594,ThreadSanitizer: data race [@ operator bool] vs. [@ assign_assuming_AddRef] on mCurrentPerformanceCounter RefPtr,1
1600595,Crash in [@ mozilla::layers::ImageBridgeParent::RecvReadbackAsyncPluginSurface],1
1600596,Remove unused functions UninlinedIsInsideNursery and PushArena,1
1600599,Code coverage link in Other Tools is broken when a line is selected,1
1600600,Extension Block Request: Avast extensions,0
1600603,Update web-platform-tests to 7cc8448ba2443173e5837a3b5135cff81ebc60bc,1
1600605,Add support for prio(medium-high) or some such to ipdl,1
1600606,"port changes from ""Bug 1493292 - Remove aDataLen parameters from nsITransferable"" and bug 1503588  to Thunderbird",1
1600608,Remove duplicated declaration of JS_IsArrayBufferViewObject in jsfriendapi.h,1
1600609,Remove unused TabGroup::HasOnlyThrottableTabs(),1
1600610,Navigating to http://localhost:9222/ should serve page targets for debugging,0
1600611,[wpt-sync] Sync PR 20555 - Verify that nested frames can navigate same-origin ancestors.,1
1600613,Glean: Enable application id `mozilla.lockbox`,1
1600614,Enumerate the existing metrics for Lockwise for Android,1
1600618,Provide more guidance on which smart pointer types to use,1
1600619,Closing developer tools switches focus back to the original tab,1
1600620,[wpt-sync] Sync PR 20557 - Handle commit changes,1
1600623,Review and cleanup the printing telemetry,1
1600624,"Intermittent Assertion failure: aSheet->GetOwnerRule(), at z:/build/build/src/layout/style/StyleSheet.cpp:614",1
1600625,need-investigagtion jobs subsequently green should be moved to known-intermittents,1
1600626,PushHealth should indicate progress of the try,1
1600627,Whitelist CFR personalization instance to allow writes to RemoteSettings,1
1600633,Glean: add Gecko beta & nightly metrics to probe-scraper,1
1600634,"Disable push notifications for cfr-models, cfr-experiment and cfr-control collections",1
1600636,AttributeError: 'ExecuteAsyncScriptRun' object has no attribute 'logger',1
1600644,Do not report ProfilerBuffer's own size twice,1
1600652,Floating text selection toolbar misplaced above the selection,1
1600654,Adding Glean to your Project incorrectly mentions that you need to change probe scraper,1
1600656,Tracking bug for 2020-01-07 mgration work,1
1600657,"first l10n bumper on beta should build without ""DONTBUILD""",1
1600658,junit harness for content process crash tests needs redesign,1
1600660,Ensure old AMIs are being cleaned up,1
1600661,"Refactor findAllMessage, findMessage into handleMessageRequest",1
1600663,ContentParent::MarkAsDead should alert Android to unbind content process service,1
1600664,Download the wasi sysroot during bootstrap for Linux,1
1600669,Please add NSS version and target (both) milestones 3.50 to 3.59,1
1600671,Doc for onLoadRequest mentions boolean even though it returns a `AllowOrDeny`,1
1600674,Create metrics based on monitor.apiMethod,0
1600675,[wpt-sync] Sync PR 20559 - Update reversing-an-animation test,1
1600676,[wpt-sync] Sync PR 20560 - Fix WPT test: content-security-policy/reporting/report-only-unsafe-eval.html,1
1600678,Modernize PDNSRequest,1
1600680,Another race condition with autocompletion,1
1600682,[wpt-sync] Sync PR 20561 - Fix email handing for decision task,1
1600690,Bulk change priority request for WebExtensions,0
1600691,"Add global option to use ""--no-arc""",0
1600693,uncaught exception: out of memory,0
1600695,Add a command to map wpt test ids to test files,1
1600696,Make --no-arc the default option,1
1600697,wasi-sysroot must be declared as a prerequisite for automation Linux builds,1
1600699,[wpt-sync] Sync PR 20563 - Make SVGSMILElement::ResolveInterval robuster,1
1600703,[wpt-sync] Sync PR 20564 - Add Chrome expectations to multiTouchPointsWithPause.html.ini,1
1600704,Redirecting to intent:// URIs in GV does not call onLoadRequest,1
1600705,Stop generating closed-over-binding information for leaf functions,1
1600706,update_incoming is not processed fast enough in stage,1
1600707,Publish Mozilla CA Policy 2.7,1
1600708,Crash in [@ nsExternalAppHandler::OnStartRequest] when debugging HandlerService.js with the browser toolbox,1
1600709,[wpt-sync] Sync PR 20565 - Allow document access iframe attribute.,1
1600710,"In Bookmarks Toolbar, if >1 folder has (no title), upon syncing, all bookmarks across both folders will end up in one folder, and the other will be empty.",0
1600711,Add mleclair@mozilla.com to the perfteam GitHub team,1
1600712,"Wrench Yaml code writes ""scrollbar-container"" but doesn't read it back",1
1600713,[mozdevice] Add FOREGROUND_SERVICE permission to grant_runtime_permissions,1
1600715,searchUrlGetParams in the modern configuration does not specify the parameter order,1
1600717,Various webrtc wpt disabled on Fission,1
1600718,"Data Request for ""deletion-request"" ping",1
1600719,Add some sanity-checking to the *can_run_script xpidl attributes,1
1600720,./mach build does not work on MacOS 10.15 due to Python 3  errors,1
1600721,Get rid of active_profiles,1
1600725,unlock kmoir's scm level 3 account so it is marked as active,1
1600727,Intermittent browser/base/content/test/plugins/browser_CTP_crashreporting.js | Test timed out -,0
1600731,A white splash screen is displayed when the dark theme is on,0
1600732,Delete unused EFS filesystem,1
1600733,"""hg reviewers"" should show count of commits for each reviewer",1
1600734,security.sandbox.content.level=1 is broken on Linux,1
1600735,crash in [@ Servo_IsUnknownPropertyRecordedInUseCounter],1
1600737,Add chromedriver for Chrome 79,1
1600742,Implement list extensions,1
1600745,socorro deploy: 2019.12.02,1
1600748,Fix styling of the device name section on the Sync tab in about:preferences,1
1600749,"ubuntu1804 - css-placeholder/css-simple-styling.html == css-placeholder/css-simple-styling-ref.html | image comparison, max difference: 255, number of differing pixels: 1496",1
1600752,Make accessibility improvements to Compare View and Alerts View,1
1600754,[wpt-sync] Sync PR 20566 - Reduce font size of text-transform tests so they fit within the reftest screenshot size.,1
1600757,Dropdown menu component needs screen reader/keyboard support,1
1600758,Add basic ActiveData data to 'mach test-info report',1
1600759,Investigate creation of an alternative view to the Graphs view for screen reader users,1
1600760,antenna deploy: 2019.12.02,1
1600761,Access and make a11y improvements to all apps - focusing on color/visual improvements,1
1600764,[wpt-sync] Sync PR 20567 - Removed exception for setting current time on a scroll linked animation,1
1600766,New feature: Colored Separator line on Bookmarks list,0
1600771,turn on --show-mismatched-frees=no for valgrind tests,1
1600773,there is no cursor hover feedback for tab bar scroll buttons,1
1600775,NSS 3.48 must depend on NSPR 4.24,1
1600777,"ubuntu1804 - indic-shaping/gujarati-3b.html == indic-shaping/gujarati-3-ref.html | image comparison, max difference: 255, number of differing pixels: 46",1
1600779,Caching in ASRouterTargeting for attachedFxAOAuthClients,1
1600782,Update pip-tools to 3.9.0,1
1600783,Test doh-rollout addon's local storage migration,1
1600785,Avoid passing Scene pointers between SceneBuilderThread and RenderBackend thread,1
1600787,snap push to releases task on beta is broken,1
1600790,"ubuntu1804 - forms/input/color/transformations-1.html == forms/input/color/transformations-1-ref.html | image comparison, max difference: 7, number of differing pixels: 113",1
1600792,Switch off objc_exception cargo patch,1
1600793,Make the scrolling input latency telemetry work for Webrender,1
1600794,[Fission] about:logins doesn't load without user interaction,0
1600795,[jsdbg2] Debugger::wrapNullableDebuggeeObject should exist,1
1600798,[Experiment] Pref-Flip Experiment: Unimplemented Window API use counters in beta Fx 72.0 to 73.0 Beta,1
1600800,Update wpt reftest harness to match internal reftest harness,1
1600801,Recover gcs missing main summary days from s3,1
1600803,Upgrade Firefox 74 to use NSPR 4.25,1
1600804,"ubuntu1804 - forms/input/checkbox/checkbox-clamp-02.html == forms/input/checkbox/checkbox-clamp-02-ref.html | image comparison, max difference: 25, number of differing pixels: 32",1
1600805,Update virtualenv-clone to 0.5.3,0
1600806,"Intermittent tests/jit-test/jit-test/tests/xdr/lazy.js | [CodeCoverage] Setting handlers for process 9135. (code 3, args """") [0.6 s]",1
1600808,[jsdbg2] DebuggerFoo::CallData argument validation exceptions are getting out of hand,1
1600809,ubuntu1804 - devtools/client/shared/test/browser_html_tooltip_screen_edge.js | The tooltip panel is over (ie intersects) the anchor horizontally: 1270 < 1137 and 935 < 1280 -,1
1600810,[wpt-sync] Sync PR 20568 - [css-pseudo] Set default styles to ::marker,1
1600811,network ID: use hardcoded IP for route checking in nsNetworkLinkService on MacOS,1
1600814,setFixedBottomOffset is not necessarily called when the offset value is not changed,1
1600817,[wpt-sync] Sync PR 20570 - Move CORB coverage for application/pdf into //services/network.,1
1600818,Report fission.autostart pref telemetry using RECORD_DEFAULTPREF_VALUE for all pref branches,1
1600821,Access to moz-fx-data-shared-prod,1
1600824,PeerConnnection's operations chain should run synchronous parts of operations synchronously.,1
1600825,ubuntu1804 - update web-platform-test-reftests manifest for tests that fail on both ubuntu1604 and ubuntu1804,1
1600827,Migrate custom infra scripts to use docker-compose,1
1600831,[wpt-sync] Sync PR 20571 - Fix XRFrame.getPose matrix math,1
1600833,Intermittent UnicodeEncodeError: 'ascii' codec can't encode character '\x80' in position 45: ordinal not in range(128),1
1600835,[wpt-sync] Sync PR 20572 - Refactor VRPose to fit better with WebXr concepts,1
1600837,Very high memory usage resulting in several second lags when switching tabs/windows,0
1600838,Make conditioned profiles for desktop Firefox the default in Raptor and Browsertime,1
1600839,[Automated review] NSS - Coverity task failed - Cannot connect to 34.83.115.217:9090 - D54821,1
1600844,SecureTrust: Unconstrained ICA not included in WTBR audit report,1
1600847,[wpt-sync] Sync PR 20573 - [ChromeDriver] Workaround DevTools fullscreen issue,1
1600849,Change triage owner for Firefox :: Firefox Monitor,1
1600851,[wpt-sync] Sync PR 20574 - [Import Maps] Migrate Jest-based resolution tests into JSON-based tests,1
1600852,No audio is played on any website,0
1600853,[wpt-sync] Sync PR 20575 - Issue 21810/improve validation methods,1
1600854,Spaces changed to non-breaking spaces near edits after using WYSIWYG editor,0
1600855,"make SVGTextFrame avoid getting glyph advances that cross text frames, and re-enable letter/word-spacing",1
1600858,[wpt-sync] Sync PR 20576 - [css-text] Allow flexibility where spec is undefined,1
1600860,[Interventions] The extension needs a way to install an update and restart for users who have opted out of automatic updates,1
1600864,Remove legacy aboutDialog-appUpdater.js implementation,1
1600874,Fix Site Identity mochitests for Fission enabled,1
1600878,Remove the use of contentBlockingEvent in RemoteSecurityUI,1
1600880,Document what happens to metric recording if Glean is not initialized,1
1600883,Enable Feature Policy allow attribute and permission delegation by default,1
1600885,Remove redundant formatting instructions from C++ coding style document,1
1600889,ThreadSanitizer: data race [@ nsUrlClassifierDBService::Observe] vs. [@ nsUrlClassifierDBServiceWorker::CacheCompletions] on gShuttingDownThread,1
1600891,The text from the tips is not displayed when the Firefox browser is resized to 25% width or less,1
1600892,Legacy ::marker (nsBulletFrame) doesn't support unicode-bidi:normal,1
1600893,File download notification stays forever,0
1600894,iOS tests crash on CircleCI,1
1600895,ThreadSanitizer: data race [@ updateEdge<js::BaseShape>] vs. [@ isForwarded],1
1600896,Remove the use of contentBlockingLog of nsIRemoteTab.idl,1
1600897,User profile name replaced with {???} with unichar and long charaters on rename,1
1600900,[wpt-sync] Sync PR 20580 - Update wasm-module-builder.js from V8.,1
1600904,pedantic(yaml) got one more failure line: TypeError: cannot use a string pattern on a bytes-like object,1
1600905,Unusual behavior after reinstalling Firefox over an opened one,1
1600906,Reduce state in dom/indexedDB classes,1
1600907,reactivate valentina.peleskei@softvision.ro Bugzilla account.,1
1600910,Extension block request: Mendeley Importer,1
1600911,Implement AVX variation of ICCv2 transforms,1
1600916,maven.mozilla.org: Make beetmover fail whenever an invalid MavenVersion is passed,1
1600919,Refresh Firefox text pushes buttons out of window,1
1600921,HTML input type number,0
1600923,move Thunderbird off remotely hosted discovery pane in about:addons,1
1600924,[wpt-sync] Sync PR 20582 - [Periodic Background Sync] Update unregister logic,1
1600927,Documents for TrustFactory(Pty)Ltd Audit Statements 2019,0
1600928,Port bug 1600281: Rewrite horizontal boxes that were incorrectly translated from align=right to align=end to use pack=end,1
1600929,WebGPU buffer creation and mapping,1
1600930,Work in progress is failing with no arc,1
1600931,Firefox 68.3.0esr bouncer check is failing for 404-ing on bz2 complete MARs,1
1600932,Don't CC the entire sheriff team when filing a regression,1
1600941,Sanitize HTML fragments created for about: pages,1
1600944,[Wayland] Print preview window is malformed/transparent,0
1600946,Python bindings: Control logging the Rust from the Python logging API,1
1600950,[wpt-sync] Sync PR 20583 - Workaround occasional timeout in wpt/svg/animations/cyclic-syncbase-2.html,1
1600951,[siglist] Add AllocInfo::Get<T> to the prefix list,1
1600952,Perma TEST-UNEXPECTED-FAIL | Builds differ. See the diff.html or diff.txt artifact,1
1600953,"The tip is permanently dismissed when clicking anywhere inside the tip but outside the ""OK, Got It"" button",1
1600954,[autoconfig] Re-run config after password changed,1
1600955,Port |Bug 501426 - make the open tabs in background pref be named mail.tabs.loadInBackground and allow overriding default for context/middle click with the shift key| to SeaMonkey,1
1600956,[wpt-sync] Sync PR 20585 - [LayoutNG] Set column fragments to the actual column size.,1
1600959,Implement Runtime.executionContextsCleared,1
1600963,tidy up some json serialization stuff,1
1600965,Add support for blocking on the DNS resolution for HTTP channels,1
1600972,Treeherder login triggers the pop-up blocker,0
1600974,Mention MSI in in-tree installer docs and link to SUMO coverage,1
1600978,Thunderbird Taskcluster ShipIt mark-as-shipped fails with scope error on scriptworker,1
1600979,Ignore exceptions from getFrames call when thread context is invalid,1
1600981,messaging_example: window.browser is not defined,1
1600983,S3 buckets for tooltool,1
1600984,Change Firefox::Security triage owner,1
1600985,Migrate tooltool s3 buckets to cloudops,1
1600986,duckduckgo has two names in about:telemetry,0
1600987,[wpt-sync] Sync PR 20586 - Add taskcluster CI badge,1
1600990,Falling back to patch may result in file renames being silently ignored,1
1600992,Some generated headers are self included,1
1600994,Update pdf.js to version 2.4.163,1
1600995,Please grant jlorenzo@mozilla.com and mtabara@mozilla.com access to lambda workers,1
1600998,Remove layout.css.xul-box-display-values.survive-blockification.enabled pref,1
1601001,"Make the legacy config tests either run with both configurations, or make sure they turn the modern preference off",1
1601002,Handle placeables in Fluent accesskeys,1
1601004,Add browsertime --video recording support for Firefox android,1
1601005,Document how to access the data,1
1601006,Raptor-browsertime on Fenix: 404 error when attempting to download fenix performancetest apk in CI,1
1601008,Add-on icons disappear,0
1601009,Add support to raptor-browsertime for running the speedometer benchmark on Firefox android,1
1601010,Update references from `this.urlbar` to `gURLBar`,1
1601011,Add gecko profiling support to raptor-browsertime (android),1
1601012,"[wpt-sync] Sync PR 20588 - Revert ""[LayoutNG] Set ShrinkToFit when determining MinMaxSize via layout""",1
1601014,BrowserGlue._migrateUI should bail out early if no migration is necessary,1
1601016,TelemetrySessionId annotation is documented but was never intentionally populated,1
1601019,[wpt-sync] Sync PR 20589 - Check active/previous interval when rescheduling after interval update,1
1601024,heap-use-after-free in [@ GetOwningEventTarget],1
1601025,Optimize change-hint for text decoration changes that don't affect layout,1
1601026,Some WPT tests for ::marker use non-allowed properties,1
1601029,[wpt-sync] Sync PR 20593 - Portals: Block element.focus,1
1601030,BrowserHost::GetOwnerElement doesn't addref its result,1
1601034,whereby.com results in audio video drift if you update the settings,1
1601035,new certificate viewer doesn't handle certificates with an AuthorityKeyIdentifier without a keyIdentifier,1
1601036,Hook up WebGPU CTS,1
1601037,Make options parameter default to {},1
1601038,Please delete LDAP Account: cbonacus@mozilla.com,1
1601039,Remove locales-src and related scripts,1
1601043,"Manually enabling ""DNS over HTTPS"" setting doesn't inform the user that it will be applied at next Firefox launch",0
1601047,Stopping the composition recorder when returning frames to memory prevents it from starting again,1
1601049,"Bookmarks, Extensions, everything lost after Firefox upgraded to 68.3.0esr (64-Bit) without notice",0
1601051,Navigating with the Tab key in the protections panel makes its header's content to disappear,1
1601052,Merge openViewOnFocus and retained results features,1
1601060,Failed to compile shader due to integer overflow,1
1601064,"In ./mach configure, infer the location of the bootstrapped lucetc/wasi-sysroot",1
1601067,Implement installBuiltIn for extensions,1
1601068,High CPU load after updating to 72.0b2,0
1601070,Update Neqo to 0.1.7 and support draft 24,1
1601072,Rewrite BytecodeEmitter::emitYieldStar to emit a real loop,1
1601073,"Debugger ""Paused"" banner polish: Move info icon from right side to left of text",1
1601074,Hit MOZ_CRASH(There should be room for registering the new object) at js/src/vm/TypeInference.cpp:3494,1
1601075,[wpt-sync] Sync PR 20595 - [Longtasks] Fix containerType and containerSrc in attribution,1
1601076,Audit BUG_COMPONENT entries in moz.build files,1
1601078,[wpt-sync] Sync PR 20596 - Test if we remove Content-(Length|Type) for POST->GET redirects,1
1601080,"When opening an updated build after 4AM, the ""metrics"" ping is sent with the previous build's metrics but the current' build's client_info.",1
1601082,Crash on some window focus changes under Wayland,0
1601083,Add an API that returns an element's containing block,1
1601085,[wpt-sync] Sync PR 20597 - Add additional WPT tests for new cases of KeyframeEffect.target and .pseudoElement,1
1601088,[jsdbg2] DebugAPI::slowPathTraceGeneratorFrame has a bad comment,1
1601089,[iris firefox] Please upload the following to Mozilla's internal Pypi mirror,1
1601090,Rename .xul files to .xhtml in toolkit/mozapps,1
1601091,gfx.status.compositor is NULL in an unexpectedly frequent number of pings,1
1601092,Sorting of Tabs not remembered after restart,0
1601093,Rename remaining .xul files to .xhtml in toolkit/,1
1601094,Rename remaining .xul files to .xhtml in browser/,1
1601095,Rename the two remaining .xul test files in caps/ to .xhtml,1
1601102,Support the echo-message capability for IRC,1
1601103,Enable clang-tidy's cppcoreguidelines-pro-type-member-init,1
1601105,"[unittest] test_android7_power - Make Android temporarily use on-the-fly generated profiles, rather than conditioned ones, until we add support for them",0
1601106,defer appointment,0
1601108,Fonts blurry with hardware acceleration enabled,1
1601110,Remove XUL content type (vnd.mozilla.xul+xml),1
1601113,Remove tests using `data:application/vnd.mozilla.xul+xml` URIs,1
1601118,Mana page's Find/Replace feature no longer works in Firefox 63+,1
1601125,Taskcluster 24.1.1 deploy tracking,1
1601127,Skew on-sync recipe runs to avoid crushing servers,1
1601129,Show icons in menu and context menu,0
1601130,"about:welcome redirects to ""Would you like to sync device to your account?"" page when already signed into sync",0
1601131,DevEdition section should only be shown to users on the release channel,0
1601133,Fixing typos in moz_external_vr.h,1
